Epoch 1, Train Loss: 110598480.0000, Valid Loss: 547113.1875, SSIM MAE: 1.1501, Size MAE: 0.5643, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 85, Train Loss: 669779.1875, Valid Loss: 1182.4800, SSIM MAE: 0.6131, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.619641, Best Size MAE: 0.027227
Epoch 86, Train Loss: 582953.4375, Valid Loss: 1183.0696, SSIM MAE: 0.6065, Size MAE: 0.0344, Best Vloss: 809.2217, Best SSIM MAE: 0.613092, Best Size MAE: 0.027227
Epoch 87, Train Loss: 548379.7500, Valid Loss: 1179.8997, SSIM MAE: 0.5998, Size MAE: 0.0343, Best Vloss: 809.2217, Best SSIM MAE: 0.606491, Best Size MAE: 0.027227
Epoch 88, Train Loss: 495730.5312, Valid Loss: 1177.1868, SSIM MAE: 0.5931, Size MAE: 0.0343, Best Vloss: 809.2217, Best SSIM MAE: 0.599754, Best Size MAE: 0.027227
Epoch 89, Train Loss: 455725.5312, Valid Loss: 1171.4823, SSIM MAE: 0.5864, Size MAE: 0.0342, Best Vloss: 809.2217, Best SSIM MAE: 0.593069, Best Size MAE: 0.027227
Epoch 90, Train Loss: 507597.0938, Valid Loss: 1167.4618, SSIM MAE: 0.5797, Size MAE: 0.0342, Best Vloss: 809.2217, Best SSIM MAE: 0.586362, Best Size MAE: 0.027227
Epoch 91, Train Loss: 631274.8750, Valid Loss: 1165.1818, SSIM MAE: 0.5731, Size MAE: 0.0341, Best Vloss: 809.2217, Best SSIM MAE: 0.579728, Best Size MAE: 0.027227
Epoch 92, Train Loss: 464848.4062, Valid Loss: 1164.1930, SSIM MAE: 0.5664, Size MAE: 0.0341, Best Vloss: 809.2217, Best SSIM MAE: 0.573097, Best Size MAE: 0.027227
Epoch 93, Train Loss: 413038.0000, Valid Loss: 1156.1848, SSIM MAE: 0.5595, Size MAE: 0.0340, Best Vloss: 809.2217, Best SSIM MAE: 0.566407, Best Size MAE: 0.027227
Epoch 94, Train Loss: 429133.6562, Valid Loss: 1146.2053, SSIM MAE: 0.5527, Size MAE: 0.0339, Best Vloss: 809.2217, Best SSIM MAE: 0.559527, Best Size MAE: 0.027227
Epoch 95, Train Loss: 558008.1875, Valid Loss: 1143.7164, SSIM MAE: 0.5460, Size MAE: 0.0338, Best Vloss: 809.2217, Best SSIM MAE: 0.552741, Best Size MAE: 0.027227
Epoch 96, Train Loss: 404329.0938, Valid Loss: 1138.5096, SSIM MAE: 0.5392, Size MAE: 0.0337, Best Vloss: 809.2217, Best SSIM MAE: 0.546006, Best Size MAE: 0.027227
Epoch 97, Train Loss: 376014.4375, Valid Loss: 1128.6124, SSIM MAE: 0.5324, Size MAE: 0.0336, Best Vloss: 809.2217, Best SSIM MAE: 0.539226, Best Size MAE: 0.027227
Epoch 98, Train Loss: 395159.0312, Valid Loss: 1119.5630, SSIM MAE: 0.5257, Size MAE: 0.0335, Best Vloss: 809.2217, Best SSIM MAE: 0.532430, Best Size MAE: 0.027227
Epoch 99, Train Loss: 415545.5312, Valid Loss: 1112.3054, SSIM MAE: 0.5190, Size MAE: 0.0333, Best Vloss: 809.2217, Best SSIM MAE: 0.525680, Best Size MAE: 0.027227
Epoch 100, Train Loss: 380036.0938, Valid Loss: 1103.7632, SSIM MAE: 0.5124, Size MAE: 0.0332, Best Vloss: 809.2217, Best SSIM MAE: 0.519022, Best Size MAE: 0.027227
Epoch 101, Train Loss: 365521.2188, Valid Loss: 1094.6642, SSIM MAE: 0.5059, Size MAE: 0.0331, Best Vloss: 809.2217, Best SSIM MAE: 0.512395, Best Size MAE: 0.027227
Epoch 102, Train Loss: 365221.1562, Valid Loss: 1088.9492, SSIM MAE: 0.4994, Size MAE: 0.0330, Best Vloss: 809.2217, Best SSIM MAE: 0.505917, Best Size MAE: 0.027227
Epoch 103, Train Loss: 352728.5000, Valid Loss: 1084.1631, SSIM MAE: 0.4931, Size MAE: 0.0329, Best Vloss: 809.2217, Best SSIM MAE: 0.499443, Best Size MAE: 0.027227
Epoch 104, Train Loss: 364235.7500, Valid Loss: 1078.5718, SSIM MAE: 0.4870, Size MAE: 0.0328, Best Vloss: 809.2217, Best SSIM MAE: 0.493134, Best Size MAE: 0.027227
Epoch 105, Train Loss: 368479.2188, Valid Loss: 1072.0836, SSIM MAE: 0.4810, Size MAE: 0.0327, Best Vloss: 809.2217, Best SSIM MAE: 0.487021, Best Size MAE: 0.027227
Epoch 106, Train Loss: 337439.9062, Valid Loss: 1066.1887, SSIM MAE: 0.4750, Size MAE: 0.0326, Best Vloss: 809.2217, Best SSIM MAE: 0.480982, Best Size MAE: 0.027227
Epoch 107, Train Loss: 383063.8750, Valid Loss: 1061.2501, SSIM MAE: 0.4690, Size MAE: 0.0326, Best Vloss: 809.2217, Best SSIM MAE: 0.474974, Best Size MAE: 0.027227
Epoch 108, Train Loss: 372411.2500, Valid Loss: 1054.3311, SSIM MAE: 0.4630, Size MAE: 0.0325, Best Vloss: 809.2217, Best SSIM MAE: 0.468950, Best Size MAE: 0.027227
Epoch 109, Train Loss: 374593.4688, Valid Loss: 1042.9299, SSIM MAE: 0.4570, Size MAE: 0.0323, Best Vloss: 809.2217, Best SSIM MAE: 0.463008, Best Size MAE: 0.027227
Epoch 110, Train Loss: 343859.7500, Valid Loss: 1029.5090, SSIM MAE: 0.4509, Size MAE: 0.0321, Best Vloss: 809.2217, Best SSIM MAE: 0.456960, Best Size MAE: 0.027227
Epoch 111, Train Loss: 280186.9375, Valid Loss: 1015.9340, SSIM MAE: 0.4448, Size MAE: 0.0319, Best Vloss: 809.2217, Best SSIM MAE: 0.450929, Best Size MAE: 0.027227
Epoch 112, Train Loss: 269854.2812, Valid Loss: 1004.6188, SSIM MAE: 0.4387, Size MAE: 0.0317, Best Vloss: 809.2217, Best SSIM MAE: 0.444816, Best Size MAE: 0.027227
Epoch 113, Train Loss: 279350.5938, Valid Loss: 994.7725, SSIM MAE: 0.4326, Size MAE: 0.0315, Best Vloss: 809.2217, Best SSIM MAE: 0.438705, Best Size MAE: 0.027227
Epoch 114, Train Loss: 315642.8125, Valid Loss: 985.6632, SSIM MAE: 0.4266, Size MAE: 0.0314, Best Vloss: 809.2217, Best SSIM MAE: 0.432617, Best Size MAE: 0.027227
Epoch 115, Train Loss: 274183.8125, Valid Loss: 978.0148, SSIM MAE: 0.4206, Size MAE: 0.0313, Best Vloss: 809.2217, Best SSIM MAE: 0.426563, Best Size MAE: 0.027227
